simulator,sim_method,single_qubit_noise_prob,two_qubit_noise_prob,num_qubits,graph_density,p,problem_idx,expectation,elapsed_time,sample
pauli-y-noise,deterministic,0.005,0.005,5,0.5,12,2,-2.794921875,193.0045714378357,0
pauli-z-noise,deterministic,0.005,0.005,5,0.5,12,2,-3.150390625,208.2078514099121,0
depolarizing-noise,deterministic,0.02,0.02,5,0.5,12,2,-2.849609375,217.8611171245575,0
depolarizing-noise,deterministic,0.015,0.015,5,0.5,12,2,-2.646484375,232.4957504272461,0
depolarizing-noise,deterministic,0.025,0.025,5,0.5,12,2,-2.669921875,220.48786187171936,0
depolarizing-noise,deterministic,0.005,0.005,5,0.5,12,2,-3.2421875,239.38806128501892,0
pauli-y-noise,deterministic,0.01,0.01,5,0.5,1,2,-3.26171875,2.950023651123047,0
pauli-x-noise,deterministic,0.01,0.01,5,0.5,1,2,-3.314453125,3.0253379344940186,0
pauli-z-noise,deterministic,0.01,0.01,5,0.5,1,2,-3.412109375,3.3959786891937256,0
depolarizing-noise,deterministic,0.01,0.01,5,0.5,1,2,-3.365234375,3.659945487976074,0
pauli-y-noise,deterministic,0.01,0.01,5,0.5,2,2,-3.12890625,4.706387996673584,0
pauli-z-noise,deterministic,0.01,0.01,5,0.5,2,2,-3.40625,5.056202173233032,0
pauli-x-noise,deterministic,0.01,0.01,5,0.5,2,2,-3.171875,5.804651737213135,0
depolarizing-noise,deterministic,0.01,0.01,5,0.5,2,2,-3.322265625,6.106306552886963,0
pauli-y-noise,deterministic,0.01,0.01,5,0.5,3,2,-3.0234375,7.913294792175293,0
pauli-z-noise,deterministic,0.01,0.01,5,0.5,3,2,-3.443359375,9.194472551345825,0
pauli-x-noise,deterministic,0.01,0.01,5,0.5,3,2,-3.18359375,10.000677585601807,0
depolarizing-noise,deterministic,0.01,0.01,5,0.5,3,2,-3.279296875,12.120237112045288,0
pauli-y-noise,deterministic,0.01,0.01,5,0.5,4,2,-2.95703125,14.517168998718262,0
pauli-x-noise,deterministic,0.01,0.01,5,0.5,4,2,-3.041015625,13.84038257598877,0
pauli-z-noise,deterministic,0.01,0.01,5,0.5,4,2,-3.490234375,16.092448711395264,0
depolarizing-noise,deterministic,0.01,0.01,5,0.5,4,2,-3.267578125,18.007139921188354,0
pauli-y-noise,deterministic,0.01,0.01,5,0.5,5,2,-2.873046875,17.73155188560486,0
pauli-x-noise,deterministic,0.01,0.01,5,0.5,5,2,-3.091796875,18.843540906906128,0
pauli-z-noise,deterministic,0.01,0.01,5,0.5,5,2,-3.599609375,27.229097366333008,0
depolarizing-noise,deterministic,0.01,0.01,5,0.5,5,2,-3.28515625,27.596317768096924,0
pauli-y-noise,deterministic,0.01,0.01,5,0.5,6,2,-2.783203125,25.591188430786133,0
pauli-x-noise,deterministic,0.01,0.01,5,0.5,6,2,-3.16015625,30.5687358379364,0
pauli-z-noise,deterministic,0.01,0.01,5,0.5,6,2,-3.58203125,31.848318099975586,0
depolarizing-noise,deterministic,0.01,0.01,5,0.5,6,2,-3.310546875,33.569212198257446,0
pauli-y-noise,deterministic,0.01,0.01,5,0.5,7,2,-2.767578125,35.37589907646179,0
pauli-x-noise,deterministic,0.01,0.01,5,0.5,7,2,-2.994140625,36.82756185531616,0
pauli-z-noise,deterministic,0.01,0.01,5,0.5,7,2,-3.62890625,42.11272430419922,0
depolarizing-noise,deterministic,0.01,0.01,5,0.5,7,2,-3.294921875,41.57184982299805,0
pauli-y-noise,deterministic,0.01,0.01,5,0.5,8,2,-2.751953125,48.899298667907715,0
pauli-x-noise,deterministic,0.01,0.01,5,0.5,8,2,-2.853515625,39.83362340927124,0
pauli-z-noise,deterministic,0.01,0.01,5,0.5,8,2,-3.61328125,47.92559766769409,0
depolarizing-noise,deterministic,0.01,0.01,5,0.5,8,2,-3.314453125,57.737356662750244,0
pauli-x-noise,deterministic,0.01,0.01,5,0.5,9,2,-2.818359375,57.55201959609985,0
pauli-y-noise,deterministic,0.01,0.01,5,0.5,9,2,-2.791015625,60.036547899246216,0
pauli-z-noise,deterministic,0.01,0.01,5,0.5,9,2,-3.51953125,63.985342025756836,0
depolarizing-noise,deterministic,0.01,0.01,5,0.5,9,2,-3.2578125,68.75457429885864,0
pauli-x-noise,deterministic,0.01,0.01,5,0.5,10,2,-2.787109375,68.63857102394104,0
pauli-y-noise,deterministic,0.01,0.01,5,0.5,10,2,-2.685546875,70.58539652824402,0
pauli-z-noise,deterministic,0.01,0.01,5,0.5,10,2,-3.55859375,77.0445568561554,0
depolarizing-noise,deterministic,0.01,0.01,5,0.5,10,2,-3.27734375,91.12227416038513,0
pauli-y-noise,deterministic,0.01,0.01,5,0.5,11,2,-2.712890625,80.54504776000977,0
pauli-x-noise,deterministic,0.01,0.01,5,0.5,11,2,-3.029296875,87.6194679737091,0
pauli-z-noise,deterministic,0.01,0.01,5,0.5,11,2,-3.30859375,94.0513277053833,0
depolarizing-noise,deterministic,0.01,0.01,5,0.5,11,2,-3.216796875,100.78011655807495,0
pauli-x-noise,deterministic,0.01,0.01,5,0.5,12,2,-3.181640625,91.46973729133606,0
pauli-y-noise,deterministic,0.01,0.01,5,0.5,12,2,-2.712890625,102.72848582267761,0
pauli-z-noise,deterministic,0.01,0.01,5,0.5,12,2,-3.26953125,134.2184739112854,0
depolarizing-noise,deterministic,0.01,0.01,5,0.5,12,2,-3.1328125,110.3954439163208,0
pauli-x-noise,deterministic,0.005,0.005,5,0.5,1,2,-3.35546875,2.2986302375793457,0
pauli-x-noise,deterministic,0.005,0.005,5,0.5,2,2,-3.205078125,5.177536487579346,0
pauli-x-noise,deterministic,0.005,0.005,5,0.5,3,2,-3.16015625,8.250702857971191,0
pauli-x-noise,deterministic,0.005,0.005,5,0.5,4,2,-3.109375,13.26471471786499,0
pauli-x-noise,deterministic,0.005,0.005,5,0.5,5,2,-3.04296875,17.99260687828064,0
pauli-x-noise,deterministic,0.005,0.005,5,0.5,6,2,-3.25390625,29.50812602043152,0
pauli-x-noise,deterministic,0.005,0.005,5,0.5,7,2,-3.154296875,37.96702432632446,0
pauli-x-noise,deterministic,0.005,0.005,5,0.5,8,2,-2.95703125,41.66304898262024,0
pauli-x-noise,deterministic,0.005,0.005,5,0.5,9,2,-2.9453125,57.53930449485779,0
pauli-x-noise,deterministic,0.005,0.005,5,0.5,10,2,-2.833984375,66.48141360282898,0
pauli-x-noise,deterministic,0.005,0.005,5,0.5,11,2,-2.73828125,69.0061547756195,0
pauli-x-noise,deterministic,0.005,0.005,5,0.5,12,2,-2.810546875,90.03099489212036,0
pauli-x-noise,deterministic,0.015,0.015,5,0.5,1,2,-3.31640625,1.5427272319793701,0
pauli-x-noise,deterministic,0.015,0.015,5,0.5,2,2,-3.05859375,3.715968370437622,0
pauli-x-noise,deterministic,0.015,0.015,5,0.5,3,2,-2.87890625,6.504971265792847,0
pauli-x-noise,deterministic,0.015,0.015,5,0.5,4,2,-3.015625,13.724586486816406,0
pauli-x-noise,deterministic,0.015,0.015,5,0.5,5,2,-2.927734375,15.919880390167236,0
pauli-x-noise,deterministic,0.015,0.015,5,0.5,6,2,-2.80078125,20.234084606170654,0
pauli-x-noise,deterministic,0.015,0.015,5,0.5,7,2,-2.712890625,27.468929052352905,0
pauli-x-noise,deterministic,0.015,0.015,5,0.5,8,2,-2.646484375,29.479888200759888,0
pauli-x-noise,deterministic,0.015,0.015,5,0.5,9,2,-2.70703125,55.5341374874115,0
pauli-x-noise,deterministic,0.015,0.015,5,0.5,10,2,-2.693359375,52.86472034454346,0
pauli-x-noise,deterministic,0.015,0.015,5,0.5,11,2,-2.67578125,61.17815184593201,0
pauli-x-noise,deterministic,0.015,0.015,5,0.5,12,2,-2.62109375,73.80993437767029,0
pauli-y-noise,deterministic,0.015,0.015,5,0.5,1,2,-3.1875,1.6471343040466309,0
pauli-y-noise,deterministic,0.015,0.015,5,0.5,2,2,-3.0390625,2.9044785499572754,0
